context,response,context_length,response_length
"House, you got to let us do this. We can't biopsy him without bleeding him to death.",You are not biopsying me.,17,5
How's your stomach? Any diarrhoea?,"The more transfusions you have, the greater the chance of you reacting, I've had three in a decade. FEver will be gone in a couple of hours.",5,27
Could be a symptom of any number of...,It's a symptom of narcotics. Who spiked my...,8,8
That's a little much for a first date.,Feels like you already got the... lung and kidney samples.,8,10
Feels like you already got the... lung and kidney samples.,"Hey, you might want to use a little bit of lidocaine...",10,11
Stopped by the lab. Your mutinous team is starting to worry about life on Pitcairn Island. All your biopsies are clean.,Because there's nothing wrong with me. Did Foreman finally okay the Amyloidosis treatment?,21,13
Patient's scheduled for irradiation at nine. You risked your life AGAIN. You couldn't be sure he had Amyloidosis.,You can't be sure that I couldn't be sure.,18,9
"Well then, by all means, flood your body with possibly lethal blood.","I usually like to give the lethal blood to Foreman, but I'm the only one who's type AB.",12,18
"Of course, you're type AB. Universal recipient, you take from Everybody.","Of course, you're type O. Universal donor. No wonder you're paying three alimonies.",11,13
How do you know... What blood type I am?,I don't. Just seemed to fit the metaphor.,9,8
"No, no, no, no, no. Did you test my blood for something? Why would you test my blood for something?",I didn't. You must have told me what you were.,20,10
Who the hell chats about their blood type? You had to have tested me.,There's no reason to ask anyone their blood type.,14,9
"You're about to run out of here, aren't you?","Nurse, can I have a moment with my Patient?",9,9
"I'm taking it with me. See, that way, it stays magic.","You were wrong about Everything. It was nEver magic, and you're not dying. What's your blood type?",11,17
"Up my sleEve. It's not Amyloidosis. And his blood's fine, we just gave him the wrong type. Caused the DIC, explains the bleeding, multisystem failures.",That's because we don't test blood for type. We test for antibodies.,25,12
Because your body only makes those antibodies when you actually have that type of blood.,"Apparently, he has one more symptom, his body's making an extra antibody, type B. Combine that with his natural type A, and presto change-o, he magically pulls blood type AB out of his hat.",15,34
"It's happened, and apparently, it's happened again. I finally have a case of lupus. Flush him with saline, transfuse four units type A, start him on steroids. He'll be back hoodwinking idiots in no time.","Big Love, rise. Use their power wisely, my lord.",35,9
You said I don't have to justify my picks.,"No... I said you could use whatEver criteria you want, doesn't mean I don't want to know. He was right about this being a real case, he was right about the botched transfusion and he's your love nugget. You've got no reason to pick him. But somebody else does. Kutner's a liability. He electrocuted himself, lit a Patient on fire, it's only a matter of time before he burns the hospital down. You made a deal with Cuddy. That's how you got her underwear. She sold it to you for the right to put her choices on the block.",9,99
"You said get her underwear, I got it.",Your scheme was brilliant... and you're fired.,8,7
You're all about breaking the rules.,"Her rules, not mine. The whole point of this was to subvert Cuddy. You became her partner, gave her power she didn't already have. Let her greedy fingers into my cookie jar, which, sadly is, not as dirty as it sounds. Thanks for playing.",6,44
"Her rules, not mine. The whole point of this was to subvert Cuddy. You became her partner, gave her power she didn't already have. Let her greedy fingers into my cookie jar, which, sadly is, not as dirty as it sounds. Thanks for playing.",Looks like an envelope with the results of the genetic test for Huntington's inside.,44,14
Looks like an envelope with the results of the genetic test for Huntington's inside.,I thought it'd be fun to find out together.,14,9
I thought it'd be fun to find out together.,"No, you're afraid to know.",9,5
"No, you're afraid to know.","I don't have to know the lottery numbers, but if someone offered them to me, I'd take them.",5,18
Don't you dare talk to me as a mother.,"Sign on the door says ""Closed for private Event"".",9,9
! you Ever had. You're my whole life. You.,Luisa Maria can't decide if she's gonna keep the quadruplets.,9,10
Luisa Maria can't decide if she's gonna keep the quadruplets.,She keeps them. I read it online. You happy now? I ruined it for you.,10,15
I want two names by Friday.,Fine. I'll arrange for a Patient with a mysterious illness to come in on Thursday.,6,15
Yes. You need more tests. 'S only been! two months. Who knows how they'll react to freak weather patterns?,They all did fine in the wind tunnel.,19,8
"Don't Ever leave me, mom.",Hey! Who's the sickest Patient you got?,5,7
"There's nothing here. Just the usual cracked heads, gunshots, false alarms.",Who'd you pick to fill your narrow little flats?,11,9
Wrap him up. I'll take him to go.,"Dizzying array of symptoms. Any of which could be caused by drugs, trauma, being a loser.",8,16
The guy's a walking pharmacy. Could be anything.,"Oh, forgot to mention! Final case. Get it right, you're hired. Runner-up will be decided strictly on some definition of merit.",8,21
I'd heard of it before you mentioned it.,Speed counts. Find something else.,8,5
"No, he's sick 'cause he's a drug addict.","No, he has Every symptom you'd expect of a drug addict.",8,11
So you think it's all too perfect? Some other disease is trying to throw us off its trail?,"If he had four out of twenty possible symptoms, he'd be a garden-variety druggie. Twenty out of twenty, there's an underlying disease. Run your tests.",18,25
"He's weak, in withdrawal, just spewed blood. They're gonna rip off a piece of his lung, ram instruments down his throat, and roto-rooter his intestines. Be nice if we didn't kill him trying to figure out what's killing him.","One diagnosis, one test at a time.",39,7
O2 stats are low. Hyper-inflated chest. I need a bronchoscopy to!,You just lost two points.,11,5
Can't have an objective system of measurement without numbers. You lose three for not knowing that.,"From now on, only the person holding this can treat or run tests.",16,13
"From now on, only the person holding this can treat or run tests.","I wanted to give you the Serpent Staff with the poison axe head, but I left it in my car.",13,20
It's insane to treat based on a game.,You're not taking the long view.,8,6
The one where we stuff another Patient in a body bag?,"Nope, if we're wrong, it'll come pretty fast. The long view is the one where we pick the best team. That way we can use all the bags we save for grocery shopping.",11,33
"Nope, if we're wrong, it'll come pretty fast. The long view is the one where we pick the best team. That way we can use all the bags we save for grocery shopping.","You're not buying that argument, are you?",33,7
"In which case, I'm back to my original position - don't need you.",What do you think of Amber?,13,6
I screwed up a diagnosis.,You don't seem that upset by it.,5,7
Diagnosed a guy with adenocarcinoma three months ago. Told him he had six months.,So now you've got to tell him that he's way behind on his Christmas shopping.,14,15
Why would you use that word?,"Because I'm interested. When I'm interested, I describe the things that make me interested as interesting.",6,16
"Most people would say ""good"", possibly ""great"". Why aren't you able to just enjoy! ?",Why aren't other people able to just be interested?,15,9
I just accepted an offer on my House. I've had three good-bye parties. I-I'm buying plane tickets to Venice.,You can still use those if you're alive.,19,8
"I, uh, I would have thought the living would mean more than the expenses.",It's not about the money.,14,5
By who? Is it about our! ?,By me. I needed him right away. Somewhere else.,7,9
Not his fault he's jonesing? In what universe does that make any sense?,Get him on a nicotine patch. It'll keep up with his joneses. Do your biopsy.,13,15
"Oh, yeah, it's much more likely that this ass punk rocker was exposed to malaria than drugs?","If you were always right, then you wouldn't have just been wrong. Or let the Patient mainline nicotine. Or ravaged my anatomical model, which Grandma House bought me when I aced my MCATs.",17,33
A pharmaceutical rep left that here on Tuesday.,Grandma does some part-time work.,8,5
The rep was a thirty-something babe.,Thank you. I got her hips. Carry it with pride.,6,10
Thank you. I got her hips. Carry it with pride.,"Manipulative bitch, you're wanted in the loser's circle.",10,8
"Manipulative bitch, you're wanted in the loser's circle.",Why do you hate drug addicts?,8,6
Your situation is different. You're taking a necessary prescription.,I know! I'm fabulous. And I'm not the Patient.,9,9
I'm not allowed to have a pRoblem with junkies?,"You're allowed, but there's gotta be a reason. He's a Patient. You don't know him. But you hate him.",9,19
He's throwing his life away.,'Cause he's setting his own terms? Not living in fear of Every pop quiz?,5,14
I thought we were talking about him.,We were nEver talking about him. Why are you afraid to lose?,7,12
Are you gonna fire me because I like to win?,Just want to know the reason.,10,6
We're gonna spend the next hour looking for a guy who doesn't want to be found.,Jimmy Quidd's greatest stiff. 1989.,16,5
A profit-seeking entity released this?,"Put it out himself. He wanted people to listen, but apparently didn't want people to enjoy listening. Now, why would someone! ?",5,22
Truly a mystery. Why would anyone do something just to aggravate people?,"Why would you have a blank liability release form, plus your checkbook, on top of your desk?",12,17
"PRobably because they were in the second drawer in a Manila envelope under a book, and you put them on top of my desk.",You usually keep your checkbook at home. It's your go-to excuse for why you can't lend me money. You're gonna pay the guy,24,23
There are other people I write checks to. I do have cable.,There's no negligence without injury.,12,5
I handed the guy a death sentence!,He's not distressed with a death sentence. He's distressed with a life sentence.,7,13
I gave him three months of misery!,"You gave him three months of being someone special. You're paying the guy because he used to be boring, and without you he's gonna be boring again.",7,27
"You gave him three months of being someone special. You're paying the guy because he used to be boring, and without you he's gonna be boring again.",Results of the malaria test already?,27,6
Why do you love drug addicts?,I'm perfectly capable of drawing my own conclusions. Are you capable of answering a question?,6,15
"There's always a reason. He's a Patient, you don't know him. Why do you like him? The alcoholic parent, druggie youth. There's no such thing as a saint without a past.",What makes you so sure that drugs are a mask for something else?,31,13
What makes you so sure that drugs are a mask for something else?,That's the dumbest thing I've heard in my life.,13,9
We need a lot of nurses in here.,Dr. Cuddy. The face that launched a thousand long faces.,8,10
Get control of your Patient. Strap him to the bed if you have to.,I want to keep all four.,14,6
Are you asking my opinion?,"If you have any absolute truths, that would be Even better.",5,11
You nEver want my advice. You spend your life trying to avoid my advice.,You're a bureaucratic nightmare. You're a chronic pain in the ass. And you're a second-rate doctor at best.,14,18
But you do! know this stuff.,Can we get this over with?,6,6
"If you're looking to get information out of the guy, he's not exactly the ""bare-your-soul"" type.","Hey, I was wondering if you guys know ""The Girl from Ipanema"".",16,12
"Oh, you're gonna be denying that in a second.","Hmm. Next time make sure you bring enough for the whole class. He's been sharing needles with this guy. As he injected this guy's blood, his own blood attacked it, chewed it up. Those were the fragments we found.",9,39
"Hmm. Next time make sure you bring enough for the whole class. He's been sharing needles with this guy. As he injected this guy's blood, his own blood attacked it, chewed it up. Those were the fragments we found.","We're back to bloody vomit and his two dozen other drug or non-drug symptoms. Re-check Everything. Throw these guys out, and strap the Patient down.",39,25
"Good news for you, ""Thirteen"". 'Cause that is definitely not drugs.",The blood clots were drug-related.,11,5
The blood clots were drug-related.,The coughing up blood and the respiratory arrests are still on the table.,5,13
You didn't authorize that test.,"True, and yet, here I am with the results.",5,9
Sure. Anything I can do to help your game.,"He's not gonna run the tests, is he?",9,8
So what's wrong with me?,You mean besides your music?,5,5
"Oh, well, sure, 'cause I don't play your kind of music, it's not music, right?",Yeah. I resent you because you're not Perry Como.,15,9
"Look, I don't! I don't play for an audience, okay?","Well, then, that stage you stand on is an odd choice.",10,11
"I just! I do it for me, okay? I don't do it for you.","You have three choices in this life. Be good, get good or give up. You've gone for column ""D"". Why?",14,20
"You have three choices in this life. Be good, get good or give up. You've gone for column ""D"". Why?","Simple answer is, if you don't try, you can't fail. Are you really that simple?",20,15
"Look, you know, some people! They like my music. Most people can't stand it. But they just sort of just shrug and ignore me. But a few, they feel like they have to tell me! what I'm screwing up. You know, what I'm wasting. Why do they care?",You have some peculiar masses near your heart.,48,8
"You care if I appreciate your music, but you don't care if you live or die.",Maybe the answer is that simple.,16,6
It's fuzzy because he was still shaking 'cause he was coming down from the heroin. Where is Everybody else?,The clinic's been quarantined. A Patient came in with avian-flu-like symptoms. And fifty extra dollars in spending money.,19,18
Can you do this echo again?,"Okay, minus five for ingratitude! No ""Thank you, Dr. House"". No ""Here's a bottle of codeine for your troubles, Dr. House"". Oh, no.",6,23
I was asking if you could do it again after giving him a sedative to keep him still.,"I could. We'd definitely get the answer. But since the opiates would decrease his respiratory drive, and he already can barely breathe, minus ten for asking me to kill the Patient.",18,31
What if it's a congenital defect? An anomalous vessel on his heart?,"You know that the heart does the blood stuff, right? And the lungs do the breathing.",12,16
If the vessel wrapped around his trachea?,What do you want me to do?,7,7
We have to get a picture.,You were doing better before you had a good idea.,6,10
How can we see it if we don't take a picture?,"You can see me, right?",11,5
"You can see me, right?",We want to look at his heart. With our eyes.,5,10
So I kill the Patient on my operating table. You get to keep testing your team and I take the heat from Cuddy.,"If it goes that way, yeah, that'll be excellent.",23,9
"His respiratory status is through the floor. If there's a vessel and we don't remove it fast, best case, he's on a ventilator for life.","Granted, it'll be a short one. Who do you think I should hire?",25,13
You want me to tell you in front of him?,It would be rude to ask him to leave now.,10,10
So! how's your game going?,It's not whether you win or lose.,5,7
It's not whether you win or lose.,"Respiratory failure. Enlarged lymph nodes. WhatEver this is, he's not gonna be breathing much longer.",7,15
Does Foreman being here mean the game's over?,It means the Patient's life is almost over. You can call it what you want.,8,15
It means the Patient's life is almost over. You can call it what you want.,"We're done, people! Come on! I need an idea and I don't care who they come from.",15,17
"Lungs are stiff, could be ARDS.",You fluid-overloaded him. Anyone's lungs would leak after that surgery. Good-bye.,6,11
What if the lymph nodes are caused by chronic stimulation of his immune system? Impurities in his drugs could have caused!,Drug diagnosis. That's what you're going with?,21,7
Drug diagnosis. That's what you're going with?,That firing thing! was all a dream.,7,7
That firing thing! was all a dream.,Go find where he gets his drugs and what's in them. Put him on dimercaprol for heavy metal poisoning.,7,19
"Kinda sticks in your head, doesn't it?",This guy's amazing. There's not one redeeming note.,7,8
What sort of a Lawyer tells his client he's got a case because he's going to live?,I've heard that not all Lawyers are as ethical as the ones we see on TV.,17,16
I don't think this guy Even has a law degree.,"A lot of the guys on TV don't, either.",10,9
I think he has a medical degree.,It directly affects my bottom line. You have less money to lend!,7,12
I'm trying to take responsibility!,And I'm trying to teach you that Everyone is out for theirs. You might as well keep yours.,5,18
And lend it to you? You have to control Everything. How come you're going around asking Everyone who you should fire?,I'm asking for input! I thought you would have admired the humility.,21,12
You like games because you can control them.,"God, I'm gonna put the record back on.",8,8
"You like what's interesting, nEver mind if it's real or good!",Wanna know why you offered that guy six grand?,11,9
"Life just happens, and that scares the hell out of you!",You think you can cure pain!,11,6
You think you can avoid pain!,"You think you're responsible for Every failure, Every! Patient's boring life, Every friend's screwed-up! !",6,15
You don't want to face it any more than my Patient does! Dying's easy. Living's hard!,That can't possibly be as poignant as it sounded.,16,9
"Uh, still can't find the drug source, but I don't think that's the pRoblem. The dimercaprol isn't working. And Quidd volunteers at a home for abandoned kids.",Why are you telling me this?,27,6
"This is a joke, right?","It's only a joke if you come up with the answer. It's not really funny if you don't. ""Thirteen"" and Kutner, you're fired too. Foreman!",5,25
He's a druggie. I was nEver sure there was a disease in the first place.,So all we know is that he's dying. Who wants to tell the Patient?,15,14
So all we know is that he's dying. Who wants to tell the Patient?,Fine. We'll get some kid to go talk to him. It's the only people he gets along with anyway.,14,19
You could have just told me.,I want you to feel guilty. She thinks the Patient's a loser. She thinks the Patient's a winner. Just a regular guy with a regular pRoblem. He thinks he's gonna be great once he's all growed up. And he thinks! what did you think?,6,44
We can't all be right.,You're all wrong. My mom always said that two wrongs don't make a right. She nEver said anything about four wrongs. I always found that suspicious. Plain old measles. Constant exposure from hanging out with Oliver Twist and his lot.,5,40
I assume he's been vaccinated.,Patient's immune system was shredded with years of drugs. They're early markers of rash and fEver. Would have been lost in a druggie. His immune system overreacted. That's why his body went haywire.,5,33
You're not doing a biopsy without neurological symptoms.,"If I'm right, the virus is in his brain. Wrong course of treatment could be his last course.",8,18
He kept swallowing. Could be neurological. Could be a complex partial seizure.,What did it look like?,12,5
What did it look like?,"Good! God, Woman. How much more proof do you need?",5,10
"We're gonna use flashing lights. Noxious stimulation, it'll irritate your brain. If there's damage to your neurons, it'll trigger a seizure that we can!",I got something much more noxious.,24,6
I got something much more noxious.,"It's not as commonly used, but sound can be just as big an irritant.",6,14
"It's not as commonly used, but sound can be just as big an irritant.","Now remind me of your influences here. 'Cause I'm gonna say, Thelonious Monk and the sound a trash compactor makes when you crawl inside it.",14,25
"Now remind me of your influences here. 'Cause I'm gonna say, Thelonious Monk and the sound a trash compactor makes when you crawl inside it.",I don't do it for you. I do it for me.,25,11
I don't do it for you. I do it for me.,What do you think? Is he seizing or dancing?,11,9
"Play him the ""B"" side. It's Even worse. Schedule an OR for the biopsy. See you in the lecture hall.",A little mood music. Build the suspense.,20,7
"You didn't call me ""bitch"". Is that bad?",You play the game better than anybody else here.,8,9
You play the game better than anybody else here.,But for the wrong reasons.,9,5
Reasons don't matter. Results are the only thing!,"You were wrong. Twenty years ago, this was recorded by Jim Moskowitz. Who later became known as Jimmy Quidd. Loves kids, apparently has a heart, perhaps Even a soul. If you're gonna work for me, you have to be willing to be wrong, willing to lose. 'Cause you just did. You're fired.",8,52
What the hell did you do?,You told me to hire Kutner and Taub.,6,8
"Well, at least the games are over.",How long have you known me?,7,6
Tell him you're done firing people.,"Well if I lie, that would be little reassurance. Dr. Kutner, who told you that it would be a good idea to put up superficial representations of a hypocritical season celebrating a mythical figure?",6,34
Good. Then can we do a Secret Santa?,I liked you better fifteen seconds ago when you were afraid for your job. So who's sick?,8,17
Everyone lies but there's an exception to Every rule.,Actually there isn't. That's kinda what makes it a rule.,9,10
The Patient's mother died of breast cancer when she was sEven and she nEver Even knew her mom was sick. She promised herself she would nEver hide anything from her own daughter.,Oh! I didn't know she'd promised.,32,6
"She told her co-worker, she told her kid.",She lied to the world. Reconstructive surgery is designed to convince people that ,8,14
"Actually, I was going to rule it in. Paralysis could be paraneoplastic. Even the best surgeon can't remove Every cell of breast tissue.",MRI what's left of her chest. Set the maParkne to scan for irony. I'm going to go redo the Patient history.,23,21
MRI what's left of her chest. Set the maParkne to scan for irony. I'm going to go redo the Patient history.,You mom tell you about all the drugs she does?,21,10
I don't do any of that stuff. It's bad for you.,"I understand why you don't want your mom to know, but I'm her doctor so ",11,16
Because she would nEver lie to me.,What's her favorite way to have sex?,7,7
I don't get what sex has to do with breast cancer.,Are you a doctor? Did you go to med school since the last time I asked?,11,16
"Oh, I thought that was our thumbs.",You wanna know Every place your mom's thumb has been?,7,10
"I'm sorry I missed rehearsal. Am I taking the ""truth is good"" side? Don't you usually take that part?","Lies are a tool, they can be used either for good! No wait, I got a better one. Lies are like Parkldren. Hard work, but they're worth it. Because the future depends on them.",19,34
You are so full of love! or something. When you care about someone ,You lie to them! You pretend that their constant ponderous musing are interesting. You tell them they're not losing their boyish good looks or becoming worn out.,14,27
"I stand corrected and may I say, it's been a real pleasure chatting with you. Sila's clean, surgical margins looks clear. No lymphadenopathy, no masses, no nothing. It's not cancer.",We need a new theory.,30,5
"Wouldn't ""no"" have been a shorter answer.",Wouldn't you not talking have made this a shorter conversation? Kid says mom's a slut.,7,15
She called her mom a slut?,"No, I called her mom a slut. Jumps anything with a pole and a pulse. Not that I'm judging here. Given her medical history, I'm actually impressed.",6,27
"Maggie already admitted to having multiple sexual partners. Which is why we already tested for, and ruled out, syphilis and any other STDs that could have caused her symptoms.",STDs aren't the only risk in risky sex. PRoblem in sleeping with strangers is! they're strange.,29,16
We'll follow up with any recent partners.,"Send Foreman and Taub. They're better liars, more likely to get to the truth.",7,14
Hmm! Must have been pretty hardworking.,Or just a credit hog.,6,5
You owe me 50 bucks.,Then you owe me half a lapdance.,5,7
It's for the nurses' holiday bonus. I know you got the memo.,Got the memo last year. I want to hire forty more fellows.,12,12
You already fired the ones you hired?,They work better when they're scared.,7,6
No. Kutner's starting the Patient on hemodialysis and Thirteen's in the lab trying to figure out what the guy put in the drugs.,"See? Clear, simple statement of facts describing their cooperation, with absolutely no attitude or fear.",23,15
Nothing in the Ecstasy except Ecstasy.,Well that nEver hurt anybody.,6,5
Can't make them blind days later.,"Do you spell ""homie"" with a Y?",6,7
"Do you spell ""homie"" with a Y?",I want to be respectful.,7,5
You're actually going to let us do Secret Santa?,Not just you guys. I like presents too. Pick a name.,9,11
Why are you doing this?,"See, this is why no one likes your people.",5,9
"See, this is why no one likes your people.","The notion of picking one time of the year to be decent to other people is obscene, because it's actually validating the notion of being miserable wretches the rest of the year.",9,32
So you think this is the part of the year they screwed up?,"On the other hand, you are now a team. Gotta work together and the simple fact is, giving people crap makes people like people so spend 25 bucks. Learn to love!",13,31
The dialysate composition just indiCates ,IndiCates nothing. I was referring to his reaction to the name he got.,6,13
I was pleased. I thought it'd be fun to buy for ,"Means! there's someone here who wouldn't be fun to buy for. I wonder who. Pick a name, then go check out the Patient's House.",12,24
We're wasting time going to the home. Kearns-Sayer syndrome fits the symptoms. takes a name from the stocking and tucks it into his jacket's inner pocket without Even looking.,No family history of Kearns. Go to their House ,29,10
"They would have told us if there were any other drugs. You met her, she couldn't have been more candid.",You're absolutely right. Go to their House ,20,8
MS or a vascular pRoblem fits better. They could affect hands and eyes.,"Fine. Do an MRI, check for MS. And a fluorescein angiogram of her eyes to see if we missed a bleed somewhere.",13,22
"Fine. Do an MRI, check for MS. And a fluorescein angiogram of her eyes to see if we missed a bleed somewhere.",Oh! And whoEver goes to their House! get me their computers.,22,11
Oh! And whoEver goes to their House! get me their computers.,You talk to your kid about sex so she'll think you're being open about Everything. Keeps her from asking questions about the things you don't want to talk about.,11,29
That's right. Her honesty proves just how dishonest she is.,Yes! Exactly who I wanted. This is going to be fun.,10,11
What's with the Secret Santa? You trying to bring them together?,I want to drive them apart.,11,6
"Aside from the Trojan horse, gifts don't usually ",What did you get your wife for your final anniversary?,9,10
I! gave her some cash and!,Gifts allow us to demonstrate exactly how little we know about a person and nothing pisses off a person more than being shoved in the wrong pigeon hole.,6,28
"Fluorescein angiogram was clear. No leaks, no lesions, definitely not a vascular pRoblem.",Someone get their birthdays out of the file.,13,8
Except she can't see out of them.,So she says. Find anything on the MRI?,7,8
Her brain is. What if it's a conversion disorder?,Lacks personal boundaries! Promiscuous! Inappropriate obsession with truth-telling! Certainly sounds like a psych case.,9,14
Then this serves no medical purpose.,"You have a genetic defect, you choose to ignore it. This Woman has a genetic defect, chooses to butcher herself to be safe. Yet what you claim to be fascinated by, is her honesty. Interesting.",6,35
"You claim to want the truth, and then you screw with people who actually live by it. Pathetic.","Hey, I gave you credit for interesting.",18,7
"Hey, I gave you credit for interesting.",You're protecting her because you're jealous she did what you couldn't.,7,11
I'm not lying to her.,"Fine, keep your mouth shut. I still need you. If it doesn't work, you gotta hold the kid down until someone else finishes lying to mom.",5,26
"Fine, keep your mouth shut. I still need you. If it doesn't work, you gotta hold the kid down until someone else finishes lying to mom.",That does actually serve a medical purpose.,26,7
I have to lie because she trusts me?,"If you show doubt, the placebo treatment won't work.",8,9
"If it's just depression, that's good news right?",A lot of great medications.,8,5
So why can't we just give her those? Why do we have to lie to her?,"Because we might be wrong. And those medications take a long time to work and since your mom's condition is declining, there's a chance the drugs won't tell us anything until it's too late.",16,34
My mom's nEver lied to me.,You don't know how to lie. You don't know how to tell when you're being lied to.,6,17
You gave them all your name?,Mm-hmm. Figured I could sow some dissension and get a few ties and sweaters.,6,14
What happens when they find out?,They'll argue about what to do with that information. Ties are less important than the dissension.,6,16
"4300 saved emails and not a single mention of ""lesbionic"", ""sanchez"" or ""Man-gina"".",Swollen lymph nodes means it wasn't psychological.,13,7
"House, we already have a full history. You don't need to waste time ",It's just a climbing knot.,14,5
"But what does she use it for? Try ""bondage"".",I did once. And she just tied me down and whined about how hard it is to be Dean of Medicine.,9,21
"No fEver, no elevated white count.",That's funny! Friend sent her a Garfield cartoon. That cat sure does love lasagna.,6,14
"If it weren't for my obsessions, you wouldn't know that she has sarcoidosis.","Eighteen months ago, she sold her Stairmaster. It was only two months old. Now either she needed the cash or climbing stairs was getting more difficult. Twelve months ago, she cancelled a hiking trip. Now she either just wanted to sit home and watch TV or walking was getting more difficult. She's been suffering joint pain for the last two years.",13,61
"Eighteen months ago, she sold her Stairmaster. It was only two months old. Now either she needed the cash or climbing stairs was getting more difficult. Twelve months ago, she cancelled a hiking trip. Now she either just wanted to sit home and watch TV or walking was getting more difficult. She's been suffering joint pain for the last two years.",Pull my ribbon. If you know what I mean.,61,9
ACE lEvels are too low for sarcoidosis.,That's not what I meant. Could just be an inactive phase.,7,11
We'll need a bronchoalveolar lavage to confirm it.,That's a shame. I'm not gonna surprise her with one for Christmas.,8,12
I've been looking for this all morning.,"Did you look in the box on my desk? Oh by the way, your mom called. Your dad's dead.",7,19
You left the present sitting on your desk?,It wouldn't have been as effective sitting in my closet in my home.,8,13
They're gonna know it's from you.,"No, they're gonna guess that it was from me. Might Even be 90 sure that it was from me but all that means is, they're 10 sure that one of the other guys is screwing them over.",6,37
"But if they Ever got it, you could screw it up.",Yeah. That's more where my powers lie.,11,7
"Hemolytic uremic syndrome, sepsis, lupus ",Listing all the possible causes is only impressive if you can do it rEverse alphabetically. We need to know why her platelet maParkne is broken. Go to the factory. Do a bone marrow aspiration.,6,34
But you got a present already. Which means you have more than one Secret Santa.,Or! somebody else wants to make me happy.,15,8
"Trust me, first place I went. No rash on my labia. Do you need to take a look?",I'm saving my money for a Red Ryder BB-gun.,18,9
I don't need to break her heart just do I can feel righteous.,You do a donkey show? I'm not curious. It matters.,13,10
It's a donkey or a mule! I can nEver remember.,Wow! That is a creepy smile. I bet the donkey's is Even creepier.,10,13
Do I have to explain?,"Nope. It's my job. Contagious ecthyma. Any contact can cause rashes, flu symptoms, sore throat. Has there been! contact?",5,19
"Nope. It's my job. Contagious ecthyma. Any contact can cause rashes, flu symptoms, sore throat. Has there been! contact?",Okay. Antibiotic cream for you and a love glove for Francis. You'll both be fine.,19,15
"It circulated, the camera picked up ","Hey, hey. It's Christmas! Why are you guys fighting?",7,9
"Just means the density was consistent, doesn't mean it was cold. It's possible! all she has are hotspots. It's consistent because her entire skeleton is turning to stone.",Good for an aspiring superhero. Fatal for a huMan hoping to make it to Kwanzaa.,28,15
Well it's gotta be from a carbonic anhydrase type 2 deficiency.,It has free will. It doesn't have to be anything doesn't want to be.,11,14
"I meant, if it's not CAII! well, none of the other causes of osteopetrosis are treatable.","You're right, it's gotta be. Go run her blood and hope that your sunny optimism isn't misplaced.",16,17
"You're right, it's gotta be. Go run her blood and hope that your sunny optimism isn't misplaced.",They accused Kutner of screwing up a test. Because they hate him.,17,12
You're surprised? That's the sort of crap that happens when you mess with people's heads.,"Well one day he will screw up a test. If they don't accuse him of that because they like him, someone could die. Where are we going?",15,27
Donor bank turned up a 49 year old Man in ClEveland who's a five out of six HLA match. First flight out of ClEveland leaves ,Why is a 49 year old ClEveland Man a closer match than her daughter?,26,14
Merry Christmas. Who's going to tell the Patient she's dying?,I will. And nobody leaves here until we find out what killed her.,10,13
You're wrong. You don't Even know what I have.,"What you have, is one last Christmas with your daughter. One last chance to give her a present. The truth. Inexpensive, highly valued, nEver have to stand in line to return it the day after Christmas.",9,36
What are you talking about?,A mother who's going to die doesn't refuse a donor test because it might hurt. She refuses when she knows it won't match. Which tends to happen when mother and daughter aren't mother and daughter.,5,35
A mother who's going to die doesn't refuse a donor test because it might hurt. She refuses when she knows it won't match. Which tends to happen when mother and daughter aren't mother and daughter.,"I could do DNA tests, if you'd rather keep lying to me.",35,12
"I nEver wanted kids. I love them but with my genes! I knew this Woman, a drug addict. She got pregnant, didn't want to have an abortion. But she also didn't want her daughter to Ever know who her real mother was. What she was. I promised nEver to tell.",A promise to an addict is worth more than a promise to your daughter?,50,14
It'd be cruel to tell her.,"Right. She lives a lie, you get to die a hypocrite.",6,11
What did you get for Christmas?,"I got a watch, a vintage LP, and a second edition Conan Doyle. If that wasn't bad enough, my Patient's dying.",6,21
You tell people the cold hard truth all the time. You get off on it.,Because I don't care. She cared. She did it anyway. She did it because she cared.,15,16
The angels of Christmas have finally given House a present he can appreciate.,"Oh, don't ruin it. Don't pin this on Christ, he's got enough nails in him.",13,15
Patient had to die but ,Why don't you take off that hat?,6,7
It's Christmas! It's a reindeer.,"It's a moose, on a Jew.",5,6
"House, if you have something to say, say it. If you don't, give us a chance to get home before Santa.",Scrooge. Give the Patient rispiradone.,21,5
"That's an anti-psychotic. She's dying, she's not crazy.",I am going to perform a Christmas miracle.,8,8
You said all the causes of osteopetrosis were fatal.,"Except for the one we discounted early, because it was impossible. When fetus forms, it's just a mass of cells. Breast tissue covers extensive portions of the body. As the fetus dEvelops, most of this tissue recedes, remaining only in the fun places. But sometimes, extra breast tissue is left behind in places where it doesn't belong. Rispiradone does a lot of things. One is, it makes breast tissue swell so we can find it more easily.",9,77
You're telling me I could have breast cancer? Somewhere not in my breast? That doesn't make sense.,Taub's parents have a winter condo in Florida. They're still New Yorkers.,17,12
That's gotta be a fat deposit.,"Yes, I could be wrong. If I am, she's dead so shut up.",6,13
You're a crazy person. Patient's a psyParkatrist.,There's something wrong with coma guy's cable.,7,7
